Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Field4
1,6,"C1, C2, C3, C4, C5, C6",10uF 50V,Device:C_Small,Capacitor_SMD:C_1206_3216Metric,~,
2,7,"D1, D3, D4, D5, D6, D8, D10",4007,Device:D_Small,Diode_SMD:D_1206_3216Metric,~,
3,3,"D2, D7, D9",12V,Device:D_Zener_Small,Diode_SMD:D_1206_3216Metric,~,
4,1,F1,Fuse 5A,Device:Fuse,FuseHolder:Fuseholder5x20_horiz_open_inline_Type-I,~,
5,4,"J1, J2, J3, J4",CONN_03SCREW,SparkFun-Connectors:CONN_03SCREW,Connectors:SCREWTERMINAL-3.5MM-3,,CONN-08288
6,1,J5,Conn_01x10,Connector_Generic:Conn_01x10,Connector_JST:JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical,~,
7,1,M1,NODEMCU ESP8266,NODEMCU ESP8266,NODEMCU ESP8266,"https://es.aliexpress.com/item/32716714257.html?spm=a2g0o.detail.0.0.7285e71efLdCpA&gps-id=pcDetailBottomMoreThisSeller&scm=1007.13339.169870.0&scm_id=1007.13339.169870.0&scm-url=1007.13339.169870.0&pvid=cf53cf08-c777-440a-b14d-22f2ee7aa667&_t=gps-id:pcDetailBottomMoreThisSeller,scm-url:1007.13339.169870.0,pvid:cf53cf08-c777-440a-b14d-22f2ee7aa667,tpp_buckets:668%230%23131923%2360_668%23888%233325%235_668%232846%238111%231996_668%232717%237559%2324_668%231000022185%231000066059%230_668%233468%2315614%23600",
8,1,PS1,HLK-PM01,Converter_ACDC:HLK-PM01,Converter_ACDC:Converter_ACDC_HiLink_HLK-PMxx,http://www.hlktech.net/product_detail.php?ProId=54,
9,6,"Q1, Q2, Q3, Q4, Q5, Q6",IRF740,Transistor_FET:IRF740,Package_TO_SOT_THT:TO-220-3_Vertical,http://www.vishay.com/docs/91054/91054.pdf,
10,3,"R1, R2, R3",220E,Device:R_Small,Resistor_SMD:R_0805_2012Metric,~,
11,6,"R4, R5, R12, R13, R16, R17",15K,Device:R_Small,Resistor_SMD:R_1206_3216Metric,~,
12,3,"R6, R11, R15",100E,Device:R_Small,Resistor_SMD:R_1206_3216Metric,~,
13,4,"R7, R10, R14, R18",10K,Device:R_Small,Resistor_SMD:R_1206_3216Metric,~,
14,2,"R8, R9",33K,Device:R_Small,Resistor_SMD:R_1206_3216Metric,~,
15,4,"U1, U2, U3, U5",TLP291,Isolator:TLP291,Package_SO:SOIC-4_4.55x2.6mm_P1.27mm,https://toshiba.semicon-storage.com/info/docget.jsp?did=12884&prodName=TLP291,
